ItemSalesID,InvoiceID,ClientID,StaffID,Invoice Date,Payment Date,Quantity,ProductID,Unit Price,Discount,Purchase ID,Unit Cost
547695,3122,93,42,42007,42009,5,10,68.5,0.17,PO/234349,47.95
547706,3126,239,17,42007,42011,1,10,70.25,0.25,PO/234349,49.175
547981,3204,312,57,42007,42025,4,10,68.5,0.05,PO/234349,47.95
550350,3828,264,13,42007,42066,2,10,68.5,0.1,PO/234349,47.95
548101,3240,270,23,42008,42029,6,10,68.5,0.05,PO/234349,47.95
548323,3296,48,47,42008,42035,8,10,68.5,0.25,PO/234349,47.95
548979,3475,306,29,42008,42048,11,10,68.5,0.03,PO/234349,47.95
550877,3979,418,32,42008,42073,11,10,68.5,0.15,PO/234349,47.95
550343,3826,104,55,42009,42066,10,10,70.25,0.1,PO/234349,49.175
550610,3907,128,47,42009,42070,4,10,68.5,0.15,PO/234349,47.95
547836,3160,314,34,42010,42019,1,10,68.5,0.2,PO/234349,47.95
548315,3294,35,70,42011,42035,10,10,68.5,0.1,PO/234349,47.95
549689,3662,218,37,42011,42059,9,10,68.5,0.15,PO/234349,47.95
548291,3288,156,25,42014,42034,6,10,68.5,0.2,PO/234492,47.95
549089,3503,260,1,42014,42050,1,10,68.5,0.03,PO/234492,47.95
548603,3377,393,30,42015,42042,6,10,70.25,0.13,PO/234492,49.175
549906,3719,67,58,42015,42062,9,10,70.25,0.05,PO/234492,49.175
552354,4391,126,35,42015,42087,1,10,68.5,0.25,PO/234492,47.95
554160,4871,63,21,42015,42102,7,10,68.5,0.1,PO/234492,47.95
548594,3374,46,46,42017,42042,9,10,68.5,0.15,PO/234492,47.95
551900,4267,69,10,42017,42083,3,10,68.5,0.22,PO/234492,47.95
547810,3153,318,53,42018,42019,6,10,68.5,0.25,PO/234492,47.95
548652,3388,211,56,42018,42043,9,10,70.25,0.1,PO/234492,49.175
548859,3441,241,2,42018,42046,4,10,68.5,0.2,PO/234492,47.95
548965,3472,71,19,42018,42048,2,10,68.5,0.17,PO/234492,47.95
548174,3259,167,37,42021,42031,10,10,70.25,0.15,PO/234492,49.175
548553,3362,8,28,42021,42041,2,10,68.5,0.1,PO/234492,47.95
550532,3883,191,42,42021,42069,5,10,70.25,0.15,PO/234492,49.175
553884,4798,135,48,42021,42100,6,10,68.5,0.25,PO/234492,47.95
555059,5128,193,7,42021,42109,12,10,68.5,0.2,PO/234492,47.95
547901,3184,418,32,42022,42023,10,10,68.5,0.03,PO/234492,47.95
548050,3225,285,14,42022,42028,2,10,68.5,0.1,PO/234492,47.95
548350,3306,301,25,42022,42036,1,10,68.5,0.05,PO/234492,47.95
549747,3679,221,50,42023,42060,1,10,68.5,0.13,PO/234492,47.95
551069,4031,95,19,42023,42075,3,10,68.5,0.22,PO/234492,47.95
554689,5013,407,43,42023,42106,8,10,68.5,0.05,PO/234492,47.95
548044,3224,8,28,42024,42028,5,10,68.5,0.13,PO/234492,47.95
548955,3469,402,36,42024,42048,9,10,68.5,0.08,PO/234492,47.95
549135,3515,39,75,42025,42051,13,10,68.5,0.1,PO/234492,47.95
552570,4445,92,7,42025,42089,6,10,68.5,0.1,PO/234492,47.95
554541,4978,388,6,42025,42105,9,10,68.5,0.05,PO/234492,47.95
553108,4595,385,2,42028,42094,2,10,68.5,0.22,PO/234641,47.95
